Name,Sample_Name,Group_code,Date,Time,Latitude,Longitude,Altitude
210712_00009.sed:C4,_grass,Bl,7/12/2021,_13_40_15_13_47_14,64.86888,-147.86152,172.1
210712_00010.sed:C4,_grass,Bl,7/12/2021,_13_40_15_13_47_40,64.86886,-147.86151,173.6
210712_00011.sed:C4,_grass2,Gr,7/12/2021,_13_49_42_13_50_16,64.86891,-147.86163,169.3
210712_00012.sed:C4,_grass2,Gr,7/12/2021,_13_49_42_13_50_51,64.86891,-147.86163,169.4
210712_00013.sed:C4,_grass2,Gr,7/12/2021,_13_49_42_13_51_21,64.86891,-147.86161,169.7
210712_00014.sed:C4,_grass2,Gr,7/12/2021,_13_49_42_13_52_18,64.86892,-147.86161,170.3
210712_00015.sed:C4,_grass2,Gr,7/12/2021,_13_49_42_13_53_09,64.86892,-147.86162,168.1
210712_00016.sed:C4,_cottongrass,CG,7/12/2021,_13_49_42_13_54_18,64.8689,-147.86161,167.1
210712_00017.sed:C4,_cottongrass,CG,7/12/2021,_13_49_42_13_54_39,64.8689,-147.86161,167.2
210712_00018.sed:C4,_cottongrass,CG,7/12/2021,_13_49_42_13_55_11,64.86889,-147.86165,168
210712_00019.sed:C4,_cottongrass,CG,7/12/2021,_13_49_42_13_55_38,64.86889,-147.86165,168
210712_00020.sed:C4,_cottongrass,CG,7/12/2021,_13_49_42_13_56_03,64.86888,-147.86165,168.9
210712_00021.sed:C4,_cottongrass,CG,7/12/2021,_13_49_42_13_56_38,64.86888,-147.86165,169
210713_00108.sed:C4,russet_buffaloberry,RB,7/13/2021,_11_04_19_11_06_16,64.70465,-148.30266,203.1
210713_00109.sed:C4,russet_buffaloberry,RB,7/13/2021,_11_04_19_11_07_10,64.70465,-148.30267,203.1
210713_00110.sed:C4,russet_buffaloberry,RB,7/13/2021,_11_04_19_11_07_38,64.70464,-148.30269,202.3
210713_00111.sed:C4,russet_buffaloberry,RB,7/13/2021,_11_04_19_11_08_10,64.70464,-148.30269,202.3
210713_00112.sed:C4,russet_buffaloberry,RB,7/13/2021,_11_04_19_11_08_51,64.70464,-148.30268,202.3
210713_00113.sed:C4,_wild_rose_,WR,7/13/2021,_11_04_19_11_10_04,64.70465,-148.30263,202.7
210713_00114.sed:C4,_wild_rose_,WR,7/13/2021,_11_04_19_11_10_31,64.70465,-148.30263,202.7
210713_00115.sed:C4,_wild_rose_,WR,7/13/2021,_11_04_19_11_11_07,64.70465,-148.30262,202.6
